Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 1
n_head = 1
n_embd = 128
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 0.27M
num decayed parameter tensors: 7, with 303,232 parameters
num non-decayed parameter tensors: 3, with 384 parameters
using fused AdamW: False
step 0: train loss 4.1749, val loss 4.1749
iter 0: loss 4.2002296448, time 6410.17ms, mfu -100.00%
iter 10: loss 4.1896023750, time 4.60ms, mfu 2.30%
iter 20: loss 4.1483569145, time 4.29ms, mfu 2.32%
iter 30: loss 4.0457601547, time 4.28ms, mfu 2.34%
iter 40: loss 3.6878898144, time 3.41ms, mfu 2.41%
iter 50: loss 2.6563055515, time 3.22ms, mfu 2.50%
iter 60: loss 0.9363126159, time 3.25ms, mfu 2.58%
iter 70: loss 0.0957244039, time 3.17ms, mfu 2.65%
iter 80: loss 0.0107478769, time 3.25ms, mfu 2.71%
iter 90: loss 0.0033273071, time 3.26ms, mfu 2.77%
iter 100: loss 0.0019078201, time 3.25ms, mfu 2.82%
iter 110: loss 0.0014569542, time 3.17ms, mfu 2.87%
iter 120: loss 0.0012687074, time 3.50ms, mfu 2.89%
iter 130: loss 0.0011668373, time 3.14ms, mfu 2.93%
iter 140: loss 0.0010952918, time 3.23ms, mfu 2.97%
iter 150: loss 0.0010378731, time 3.50ms, mfu 2.98%
iter 160: loss 0.0009842985, time 3.19ms, mfu 3.01%
iter 170: loss 0.0009346604, time 3.22ms, mfu 3.04%
iter 180: loss 0.0008860512, time 3.40ms, mfu 3.05%
iter 190: loss 0.0008402290, time 3.16ms, mfu 3.08%
iter 200: loss 0.0007990971, time 3.24ms, mfu 3.10%
iter 210: loss 0.0007520201, time 3.20ms, mfu 3.12%
iter 220: loss 0.0007208139, time 3.26ms, mfu 3.13%
iter 230: loss 0.0006805825, time 3.21ms, mfu 3.15%
iter 240: loss 0.0006410261, time 3.30ms, mfu 3.15%
step 250: train loss 4.1749, val loss 4.1749
iter 250: loss 0.0006083539, time 6373.37ms, mfu 2.84%
iter 260: loss 0.0005757029, time 3.22ms, mfu 2.88%
iter 270: loss 0.0005439205, time 3.24ms, mfu 2.92%
iter 280: loss 0.0005175137, time 3.24ms, mfu 2.96%
iter 290: loss 0.0004896881, time 3.25ms, mfu 2.99%
iter 300: loss 0.0004636071, time 3.27ms, mfu 3.01%
iter 310: loss 0.0004392182, time 3.19ms, mfu 3.04%
iter 320: loss 0.0004148982, time 3.17ms, mfu 3.07%
iter 330: loss 0.0003927078, time 3.22ms, mfu 3.10%
iter 340: loss 0.0003732762, time 3.27ms, mfu 3.11%
iter 350: loss 0.0003531970, time 3.25ms, mfu 3.12%
iter 360: loss 0.0003331414, time 3.21ms, mfu 3.14%
iter 370: loss 0.0003166585, time 3.26ms, mfu 3.15%
iter 380: loss 0.0002991380, time 3.28ms, mfu 3.16%
iter 390: loss 0.0002845239, time 3.25ms, mfu 3.17%
iter 400: loss 0.0002691753, time 3.27ms, mfu 3.18%
iter 410: loss 0.0002564706, time 3.20ms, mfu 3.19%
iter 420: loss 0.0002406971, time 3.25ms, mfu 3.20%
iter 430: loss 0.0002280129, time 3.18ms, mfu 3.21%
iter 440: loss 0.0002162516, time 3.17ms, mfu 3.23%
iter 450: loss 0.0002054421, time 3.32ms, mfu 3.22%
iter 460: loss 0.0001952111, time 3.25ms, mfu 3.23%
iter 470: loss 0.0001853475, time 3.21ms, mfu 3.23%
iter 480: loss 0.0001760624, time 3.28ms, mfu 3.23%
iter 490: loss 0.0001666218, time 3.18ms, mfu 3.24%
step 500: train loss 4.1749, val loss 4.1749
iter 500: loss 0.0001574911, time 1031.43ms, mfu 2.92%
iter 510: loss 0.0001505855, time 3.01ms, mfu 2.98%
iter 520: loss 0.0001430949, time 3.08ms, mfu 3.03%
iter 530: loss 0.0001355275, time 3.06ms, mfu 3.07%
iter 540: loss 0.0001289318, time 3.07ms, mfu 3.11%
iter 550: loss 0.0001223286, time 3.08ms, mfu 3.14%
iter 560: loss 0.0001152340, time 3.10ms, mfu 3.17%
iter 570: loss 0.0001100428, time 3.03ms, mfu 3.20%
iter 580: loss 0.0001037662, time 3.07ms, mfu 3.23%
iter 590: loss 0.0000988035, time 3.09ms, mfu 3.25%
iter 600: loss 0.0000932352, time 3.13ms, mfu 3.26%
iter 610: loss 0.0000891290, time 3.05ms, mfu 3.28%
iter 620: loss 0.0000844040, time 3.04ms, mfu 3.30%
iter 630: loss 0.0000807467, time 3.09ms, mfu 3.32%
iter 640: loss 0.0000760845, time 3.38ms, mfu 3.30%
iter 650: loss 0.0000726709, time 3.30ms, mfu 3.29%
iter 660: loss 0.0000691429, time 3.46ms, mfu 3.27%
iter 670: loss 0.0000655989, time 3.20ms, mfu 3.27%
iter 680: loss 0.0000622713, time 3.25ms, mfu 3.27%
iter 690: loss 0.0000590895, time 3.18ms, mfu 3.28%
iter 700: loss 0.0000558842, time 2.99ms, mfu 3.30%
iter 710: loss 0.0000532271, time 3.32ms, mfu 3.29%
iter 720: loss 0.0000504412, time 3.03ms, mfu 3.31%
